Código Expediente;Obj;Organo;Procedimiento de adjudicación;Tipo de contrato;Importe de licitación;Importe de adjudicación;Identidad del adjudicatario;Ejercicio;M
CONLT20177500000050;montes publicos y privados y otros dom. pub. aragon;INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL;Negociado;Servicios;13000;11000;NATURALEZA TECNOLOGIA APLICADA SLP;2017;
CONLT20177500000052;dominio publico pecuario;INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL;Negociado;Servicios;13000;10920;GRUPO UNICA UNION CARTOGRAFICA ARAG;2017;
CONLT20177500000053;dominio publico pecuario;INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL;Negociado;Servicios;13000;11440;TECNICA Y PROYECTOS S.A.;2017;
CONEX20175200000939;gasoleo calefaccion;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Suministros;860.09;860.09;REPSOL COMERCIAL DE PRODUCTOS;2017;
CONEX20175200000940;gasoleo calefaccion;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Suministros;732.82;732.81;REPSOL COMERCIAL DE PRODUCTOS;2017;
CONEX20175200000679;pnsp 15 s/2017 mantenimiento informatica laboratorio;SERVICIO ARAGONÉS DE SALUD;Negociado;Servicios;39750;39750;WERFEN ESPAÑA S.A.U.;2017;
CONEX20175200000783;servicio seguridad crp;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Servicios;51972.33;51156.73;GARDA SERVICIOS DE SEGURIDAD S.A.;2017;
CONEX20175200000784;servicio de seguridad hscj;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Servicios;53039.87;52811.33;EULEN SEGURIDAD S.A.;2017;
CONEX20175200000785;servicio de seguridad hsj;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Servicios;85214.72;84824.8;CIA VIGILANCIA ARAGONESA S.L.;2017;
CONEX20175200000786;suministro siete sillas operativas;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Suministros;1574.99;881.25;BALLAROL OFICINAS S.L.L.;2017;
CONEX20175200000720;automóvil de turismo;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Suministros;9295;9295;PIRENAUTO S.L.;2017;
CONEX20175200000723;reparacion acelerador oncor;SERVICIO ARAGONÉS DE SALUD;Negociado;Servicios;66381.87;66381.87;SIEMENS HEALTHCARE; S.L.;2017;
CONEX20175200000726;seguridad crp;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Servicios;577908.8;577908.8;EULEN SEGURIDAD S.A.;2017;
CONEX20175200000727;procedimientos diagnosticos: pet-tac colina;SERVICIO ARAGONÉS DE SALUD;Negociado;Servicios;112000;112000;IDCQ HOSPITALES Y SANIDAD S.L.U.;2017;
CONEX20175200000736;servicio de seguridad c.s.oliver;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Servicios;91575.6;91575.6;CIA VIGILANCIA ARAGONESA S.L.;2017;
CONEX20175200000737;procedimientos diagnosticos concertados: ecografias;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Suministros;13500;13500;CLINICA MONTPELLIER GRUPO HLA; SAU;2017;
CONEX20175200000738;servicios de seguridad;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Servicios;951841.12;951841.11;CIA VIGILANCIA ARAGONESA S.L.;2017;
CONEX20175200000743;servicio de seguridad hcu;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Servicios;19067.68;19067.59;CIA VIGILANCIA ARAGONESA S.L.;2017;
CONLT20175300000313;productos láctteos;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Suministros;2328.35;2014.65;CARLOS BERMEJO S.L.;2017;
CONLT20175300000314;pan yrepostería;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Suministros;4171.5;4126.5;PANIFICADORA DE TERUEL S.A.;2017;
CONLT20175300000315;frutas y verduras;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Suministros;8186.26;7628.7;FRUTAS HEMANOS YAGÜE MUÑOZ SL;2017;
CONLT20175300000316;comestibles y bebidas;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Suministros;10389.7;8213.54;CARLOS BERMEJO S.L.;2017;
CONAD20171600000047;procedimientos de interrupción voluntaria del embarazo;SANIDAD;Derivado de acuerdo marco;Servicios;230564.39;230564.39;UTE-ACTUR QUIRURGICOS;2017;
CONAD20171600000052;procedimientos demora quirúrgica - traumatologia cma;SANIDAD;Derivado de acuerdo marco;Servicios;107091.54;78547.51;UTE CLINICA DEL PILAR LEY 18/1982;2017;
CONAD20171600000053;procedimientos demora quirúrgica - c. general hospit.;SANIDAD;Derivado de acuerdo marco;Servicios;186285.9;128700;CLINICA MONTPELLIER GRUPO HLA; SAU;2017;
CONAD20171600000054;procedimientos demora quirúrgica;SANIDAD;Derivado de acuerdo marco;Servicios;8300;6000;CLINICA MONTPELLIER GRUPO HLA; SAU;2017;
CONLT20171600000097;ropa tbjo(bata laboratorio)yolanda guerrero;SANIDAD;Derivado de acuerdo marco;Suministros;21;21;INSERCION Y TRABAJO SL;2017;
CONLT20171600000098;ropa tbjo(pantalon)yolanda guerrero;SANIDAD;Derivado de acuerdo marco;Suministros;10.8;10.8;EL CORTE INGLES S.A.;2017;
CONAD20171600000112;sublote 2.2.cma:cirugía general y digestiva;SANIDAD;Derivado de acuerdo marco;Servicios;4847.2;4080;CAPITOLIO SA;2017;
CONAD20177500000010;redacción de informes y apoyo general a tramitación exp.ganadería;INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL;Por administración;Servicios;96244.89;96244.89;SDAD ARAGONESA DE GESTION;2017;
CONAD20171400000138;145 zb71603. mejora hábitats enp zaragoza;DESARROLLO RURAL Y SOSTENIBILIDAD;Por administración;Servicios;275554.44;275554.44;SDAD ARAGONESA DE GESTION;2017;
CONLT20175300000037;productos de lavanderia;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Negociado;Suministros;13820;10830.6;HIGIENIZAR S.L.;2017;
CONLT20175300000038;productos de limpieza;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Negociado;Suministros;15932;14122;ARAPRODES S.L.;2017;
CONAD20171600000029;mantenimiento vehículos s.p.sanidad;SANIDAD;Abierto;Servicios;966.94;966.94;CARZA S.A.;2017;
CONLT20175300000004;aves y huevos;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Suministros;8170;7884.4;ELABORADOS LAS TORRES S.A.;2017;
CONLT20175300000005;bebidas y zumos;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Suministros;3614.8;3305.3;VICENTE VALERA E HIJOS S.L.;2017;
CONLT20175300000006;carnicos frescos y derivados;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Suministros;11122.5;10697.95;ELABORADOS LAS TORRES S.A.;2017;
CONLT20175300000007;comestibles;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Suministros;6566.05;6000.75;COMERCIAL ARAGONES DE PRODUCTO;2017;
CONLT20175300000008;pescado fresco;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Suministros;3096;3070.1;CONGELADOS UTRILLAS SA;2017;
CONLT20175300000009;productos congelados;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Suministros;15396;14318.25;CONGELADOS UTRILLAS SA;2017;
CONMY20171800000269;construcción ceip (3+6) uds. en sobradiel;EDUCACIÓN; CULTURA Y DEPORTE;Abierto;Obras;2649247.11;2626017.23;UTE-ELECNOR SA-EHISA CONS Y OBRAS;2017;
CONMY20171200000082;servicio de vehiculos de reparto de correo y paqueteria;HACIENDA Y ADMINISTRACIÓN PÚBLICA;Abierto;Servicios;119040;119040;INTEGRA MANTENIMIENTO GESTION Y;2017;
CONMY20171700000062;conmy 17/2016 integración inaga en servicios administración electrónica;INNOVACIÓN; INVESTIGACIÓN Y UNIVERSIDAD;Abierto;Servicios;224106.75;175506.75;SOFTWARE GRUPO V SL;2017;
CONLT20175300000356;carnes de aves y caza 2017;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;31595;28773.65;ELABORADOS LAS TORRES S.A.;2017;
CONLT20175300000357;huevos 2017;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;9746.77;8847.4;CARLOS BERMEJO S.L.;2017;
CONLT20175300000358;carnes porcino 2017;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;53581.86;46783.54;DON JATE S.A.;2017;
CONLT20175300000359;productos cárnicos 2017;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;20488.55;18669.45;DON JATE S.A.;2017;
CONEX20175200000777;suministro de una estacion de anestesia al hospital de barba;SERVICIO ARAGONÉS DE SALUD;Abierto;Suministros;35300;27500;GRAL ELECTRIC HEALTHCARE ESPAÑA S.A;2017;
CONEX20175200000816;kit reparacion valvula mitral;SERVICIO ARAGONÉS DE SALUD;Negociado;Suministros;220000;220000;ABBOTT LABORATORIES S.A.;2017;
CONEX20175200000795;serv. transporte documentacion; neveras con analiticas; etc.;SERVICIO ARAGONÉS DE SALUD;Negociado;Servicios;67186.4;51000;TRADELEO SL;2017;
CONEX20175200000888;"sºmto correctivo cme ""grande covián"" y c.salud sector i";SERVICIO ARAGONÉS DE SALUD;Negociado;Servicios;30000;26112;AMBITEC SISTEMAS S.L.;2017;
CONEX20175200000908;servicio de vigilancia y seguridad cme ramon y cajal y centros s;SERVICIO ARAGONÉS DE SALUD;Negociado;Servicios;135458.53;135458.53;GARDA SERVICIOS DE SEGURIDAD S.A.;2017;
CONEX20175200000902;gasoleo calefaccion;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Suministros;512.56;512.56;REPSOL COMERCIAL DE PRODUCTOS;2017;
CONEX20175200000941;gasoleo calefaccion;SERVICIO ARAGONÉS DE SALUD;Contratación centralizada;Suministros;808.5;808.5;REPSOL COMERCIAL DE PRODUCTOS;2017;
CONLT20175300000372;frutas y verduras 4º trimestre 2017;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;20056.12;16798.54;GIFRUTA S.L.;2017;
CONMY20175200000805;obras construcción nuevo hospital de alcañiz (tramit.anticipada);SERVICIO ARAGONÉS DE SALUD;Abierto;Obras;6.674500833E7;4.750242243E7;UTE NUEVO HOSPITAL DE ALCAÑIZ;2017;
CONMY20171800000880;redacción proyecto 18 uds. primaria ceip las anejas de teruel;EDUCACIÓN; CULTURA Y DEPORTE;Abierto;Servicios;82229.42;50000;THEMOLINO PROYECTOS SLP;2017;
CONMY20175200000806;dirección de obra (arquitecto) nuevo hospital de alcañiz;SERVICIO ARAGONÉS DE SALUD;Abierto;Servicios;290000;220000;ESTUDIO CHILE 15 S.L.P.;2017;
CONMY20175200000807;dirección instalaciones (ingeniero) nuevo hospital de alcañiz;SERVICIO ARAGONÉS DE SALUD;Abierto;Servicios;250000;167500;INGENIERIA TORNE S.L.;2017;
CONMY20171300000160;serv. arrend. de maq. y prov. de mater. crtra. a-1701-mosqueruela-l.p.caste;VERTEBRACIÓN DEL TERRITORIO; MOVILIDAD Y VIVIENDA;Abierto;Servicios;661157.03;603612.92;CONSTRUCCIONES Y EXCAVACIONES;2017;
CONMY20171200000116;mantenimiento aplicaciones informáticas tributarias en plataforma java;HACIENDA Y ADMINISTRACIÓN PÚBLICA;Abierto;Servicios;173500;133300;EUROHELP CONSULTING S.L.;2017;
CONMY20175300000654;suministro material sanitario desechable 2017;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Suministros;23811.54;17541.3;DISTRIBUCIONES NAVARRO-MIR S.L.;2017;
CONMY20175200000808;dirección ejecución (arquitecto técnico) nuevo hospital de alcañiz;SERVICIO ARAGONÉS DE SALUD;Abierto;Servicios;250000;181875;AL ARQUITECTOS TECNICOS Y;2017;
CONMY20175200000809;coordinación seguridad y salud obras nuevo hospital de alcañiz;SERVICIO ARAGONÉS DE SALUD;Abierto;Servicios;100000;69780;COORDINACION DE SEGURIDAD Y;2017;
CONMY20175300000595;atencion a tutelados prov. huesca 2017;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Servicios;443812;410629.79;FUNDACION RAMON REY ARDID;2017;
CONMY20177200000005;c2/2017 edar's rio mijares manten. y explotacion;INSTITUTO ARAGONÉS DEL AGUA;Abierto;Servicios;963579.44;758157;SERVICIO DE AGUAS Y SANEAMIENTO DE;2017;
CONMY20175200000021;obras unidad hospitalización psiquiátrica breve hospital miguel servet;SERVICIO ARAGONÉS DE SALUD;Abierto;Obras;2134406.81;1550859.99;UTE-CONSTRUCCIONES MARIANO LOPEZ;2017;
CONMY20171800000171;redac. proyecto básico 12+24 uds. y ejecuc. 12 uds.inf.cip valdespartera iv;EDUCACIÓN; CULTURA Y DEPORTE;Abierto;Servicios;114381.25;73000;ARQUITECTURA METROPOLITANA;2017;
CONAD20171600000206;procedimientos quirurgicos traumatologia hospitalizacon alcañiz;SANIDAD;Derivado de acuerdo marco;Servicios;71225;60553.45;UTE CLINICA DEL PILAR LEY 18/1982;2017;
CONAD20171600000209;procedimientos quirúrgicos cir vascular hospitalizacion teruel;SANIDAD;Derivado de acuerdo marco;Servicios;3529.32;3003.32;UTE CLINICA DEL PILAR LEY 18/1982;2017;
CONLT20175300000805;conservas;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;7838.95;7204.57;CONGELADOS ARIZA SL;2017;
CONLT20175300000806;legumbres y pastas;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;10717.7;9459.2;AGUSTIN DOMINGUEZ RODRIGUEZ SL;2017;
CONMY20171800000574;redacción proyectos ejecución 3 aulas + 18 uds. prim. cip arcosur de zgz;EDUCACIÓN; CULTURA Y DEPORTE;Abierto;Servicios;77093.46;65500;MAGEN ARQUITECTOS S.L.;2017;
CONMY20171000000196;adaptación instalaciones de audio; vídeo; datos y sum salas de vistas;PRESIDENCIA;Abierto;Servicios;55745.13;50097.74;ORBE TELECOMUNICACIONES S.L.;2017;
CONMY20177400000014;contrato limpieza edificio i+d (2018-2019);CENTRO DE INVESTIGACIÓN Y TECNOLOGÍA AGROALIMENTAR;Abierto;Servicios;115751.24;114000;PUBLIC SERVICE ENTERPRISE S.L.;2017;
CONAD20171600000286;suministro de un vehículo industrial combi;SANIDAD;Derivado de acuerdo marco;Suministros;12200;12200;ARAGONESA AUTOMOVILES S.A.;2017;
CONAD20171400000432;a170011 trabajos de coordinacion en seg. y salud;DESARROLLO RURAL Y SOSTENIBILIDAD;Por administración;Servicios;50500.99;50500.99;SDAD ARAGONESA DE GESTION;2017;
CONAD20171400000448;rf 74091 obras helipuerto bh ejea;DESARROLLO RURAL Y SOSTENIBILIDAD;Por administración;Obras;21168.75;21168.75;EMPRESA TRANSFORMACION AGRARIA S.A.;2017;
CONAD20171800000975;ruta 65. reserva de plazas huesca. curso 2017/2018;EDUCACIÓN; CULTURA Y DEPORTE;Negociado;Servicios;45633.82;45633.82;ALOSA AUTOCARES Y AUTOBUSES S.L.;2017;
CONAD20171800000976;ruta 66. reserva de plazas huesca. curso 2017/2018;EDUCACIÓN; CULTURA Y DEPORTE;Negociado;Servicios;41369.73;41369.73;ALOSA AUTOCARES Y AUTOBUSES S.L.;2017;
CONAD20171800000978;ruta 73. reserva de plazas huesca. curso 2017/2018;EDUCACIÓN; CULTURA Y DEPORTE;Negociado;Servicios;13516.36;13516.36;ALOSA AUTOCARES Y AUTOBUSES S.L.;2017;
CONAD20171800000985;ruta 40. reserva de plazas huesca. curso 2017/2018;EDUCACIÓN; CULTURA Y DEPORTE;Negociado;Servicios;19952.73;19952.73;LA FRANJA DE ARAGON S.L.;2017;
CONAD20171600000324;seguridad ramón y cajal;68-2017/18;SANIDAD;Abierto;Servicios;43346.69;42134.19;PROSEGUR SOLUCIONES INTEGRALES DE;2017;
CONLT20175100000100;formación certificada en microsoft;INSTITUTO ARAGONÉS DE EMPLEO;Abierto;Servicios;190880;188970;PROJECT UNIVERSITAT EMPRESA; S. L.;2017;
CONLT20175100000101;formación certificada en oracle;INSTITUTO ARAGONÉS DE EMPLEO;Abierto;Servicios;234410;234410;ORACLE IBERICA SRL;2017;
CONLT20175100000102;formación certificada en vmware;INSTITUTO ARAGONÉS DE EMPLEO;Abierto;Servicios;15900;15740;PROJECT UNIVERSITAT EMPRESA; S. L.;2017;
CONLT20175100000103;formación certificada en proyectos tic;INSTITUTO ARAGONÉS DE EMPLEO;Abierto;Servicios;45960;45800;ESTRATECNO; S.L.;2017;
CONLT20175100000104;formación certificada en cisco;INSTITUTO ARAGONÉS DE EMPLEO;Abierto;Servicios;78900;78111;PROJECT UNIVERSITAT EMPRESA; S. L.;2017;
CONMY20171000000184;desarrollo de una app de gestión bolsas de interinos justicia;PRESIDENCIA;Abierto;Servicios;54874.71;43899.77;SOFTWARE GRUPO V SL;2017;
CONAD20171300000376;sum. vehículo indust. combi 5 plazas;VERTEBRACIÓN DEL TERRITORIO; MOVILIDAD Y VIVIENDA;Derivado de acuerdo marco;Suministros;13500.48;12863.54;CARZA S.A.;2017;
CONAD20171300000377;sum. 5 veh. indust. furgonetas de 100 cv;VERTEBRACIÓN DEL TERRITORIO; MOVILIDAD Y VIVIENDA;Derivado de acuerdo marco;Suministros;68487.1;65474.65;AUTOMOVILES SANCHEZ S.A.;2017;
CONMY20171300000157;suministro de 1 camión 6x6 26 tn para la subdirecc. prov. de huesca;VERTEBRACIÓN DEL TERRITORIO; MOVILIDAD Y VIVIENDA;Abierto;Suministros;175000;105061;JOVENES INDUSTRIALES METALURGICOS;2017;
CONAD20175300000365;suministro gas natural hogar de andorra 13.08.17 a 12.08.19;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;19008.27;19008.27;NEXUS ENERGIA S.A.;2017;
CONAD20175300000367;suministro gas natural centro base 13.8.17a 12.8.19;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;13223.14;13223.14;NEXUS ENERGIA S.A.;2017;
CONMY20171000000044;servicio para el depósito; custodia y gestión fondos doc;PRESIDENCIA;Abierto;Servicios;1083992.19;724659.8;UTE-ADMINISTRADORA DE ARCHIVOS SA-;2017;
CONMY20171300000054;actualizacion documentos inf. rritoriales (dit) e integración en idearagon;VERTEBRACIÓN DEL TERRITORIO; MOVILIDAD Y VIVIENDA;Abierto;Servicios;40000;36000;IDEARIUM CONSULTORES SL;2017;
CONMY20171800000311;suministro e instalación de 1850 ordenadores de sobremesa;EDUCACIÓN; CULTURA Y DEPORTE;Abierto;Suministros;1079421.49;995300;SOLITIUM S.L.;2017;
CONMY20171300000055;elaboración de la ortofoto histórica de aragon de los años 1956-1957;VERTEBRACIÓN DEL TERRITORIO; MOVILIDAD Y VIVIENDA;Abierto;Servicios;41322.31;23875;SERESCO S.A.;2017;
CONAD20175300000047;servicio de vigilancia desde el 20 de febrero al 30 de junio de 2017;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Servicios;30135.44;30135.44;CIA VIGILANCIA ARAGONESA S.L.;2017;
CONAD20175300000370;suministro gas natural cocina h.turia 13.8.17 a 12.8.19;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;4049.59;4049.59;ENDESA ENERGIA S.A.;2017;
CONAD20175300000372;suministro gas natural vivienda hogar 13.08.17 a 12.8.19;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;8264.46;8264.46;ENDESA ENERGIA S.A.;2017;
CONAD20175300000388;suministro gas natural 2/11/17-1/11/19;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;19900.83;19900.83;ENDESA ENERGIA S.A.;2017;
CONMY20175200000617;sustitución grupo de frío hospital royo villanova (z);SERVICIO ARAGONÉS DE SALUD;Abierto;Obras;512638.02;480500;AMBITEC S.A.U;2017;
CONMY20175200000629;reforma instalación climatización cs bombarda (z);SERVICIO ARAGONÉS DE SALUD;Abierto;Obras;169467.47;157604;ARAGONESA DE INSTALACIONES Y;2017;
CONMY20171800000188;dirección instalaciones construc. ies+bach (12+4)uds. villanueva de gállego;EDUCACIÓN; CULTURA Y DEPORTE;Abierto;Servicios;28823.04;21620;PILAR PECO S.L.P.;2017;
CONMY20175200000035;mantenimiento farmasalud;suma;comunica y otras;SERVICIO ARAGONÉS DE SALUD;Abierto;Servicios;40909.09;37227;INSTRUMENTACION Y COMPONENTES S.A.;2017;
CONMY20175200000641;dir ejecución y coordinación ssalud c.s. los olivos (h);SERVICIO ARAGONÉS DE SALUD;Abierto;Servicios;40000;28000;KRIPIO S.L.;2017;
CONAD20175300000184;servicio de vigilancia de la residencia del tiempo libre;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Servicios;36889.83;36848.92;CIA VIGILANCIA ARAGONESA S.L.;2017;
CONMY20175200000640;dirección arquitecto e ingeniero obras c.s. los olivos (h);SERVICIO ARAGONÉS DE SALUD;Abierto;Servicios;50000;33335;LORENTE GALDOS JOAQUIN;2017;
CONMY20171800000293;saneamiento y amplicacion red interna (lan) 100 centros educativos;EDUCACIÓN; CULTURA Y DEPORTE;Abierto;Obras;930358.23;744950.45;UTE-GOTOR COMUNICACIONES SA-CERMA &;2017;
CONAD20175300000406;suministro energia eléctrica 2018;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;92561.98;92561.98;ENDESA ENERGIA S.A.;2017;
CONAD20175300000427;suministro gas 2018;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;123966.94;123966.94;NEXUS ENERGIA S.A.;2017;
CONMY20177100000037;evolucion plataforma documentum ast_2017_026;ENTIDAD PÚBLICA ARAGONESA DE SERVICIOS TELEMÁTICOS;Abierto;Servicios;80000;76397.15;INFORMATICA EL CORTE INGLES S.A.;2017;
CONAD20175300000323;servicio de seguridad direccion provincial iass 2018;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Servicios;34983.52;33960.48;ILUNION SEGURIDAD S.A.;2017;
CONMY20171500000033;suministro dos vehículos renting;ECONOMÍA; INDUSTRIA Y EMPLEO;Abierto;Suministros;35354.03;31542.74;ALPHABET ESPAÑA FLEET MANAGEMENT;2017;
CONAD20175300000120;suministro de gasoleo hogar doz 2018;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;20661.16;20661.16;REPSOL COMERCIAL DE PRODUCTOS;2017;
CONMY20171000000068;suministro; instalación y mantenimiento ecall 112 sos aragón;PRESIDENCIA;Abierto;Suministros;57851.24;49949;ALGORITMOS PROCESOS Y DISEÑOS; S.A.;2017;
CONMY20171000000103;mantenimiento delsistema de seguridad edificios interdepartamentales;PRESIDENCIA;Abierto;Servicios;90000;65115.12;UTE-ORBE SEGURIDAD SL-SEGURMA SA;2017;
CONMY20177300000001;mantenimiento instalaciones termicas; agua caliente sanitaria;INSTITUTO ARAGONÉS CIENCIAS DE LA SALUD;Abierto;Servicios;54999.1;44133.5;INCLIZA S.L.;2017;
CONMY20175300000148;gestión educativa vivienda hogar;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Abierto;Servicios;297080.53;280500;ARQUISOCIAL S.L.;2017;
CONMY20171300000081;desarrollo herramienta web para participación activa plan.urb;VERTEBRACIÓN DEL TERRITORIO; MOVILIDAD Y VIVIENDA;Abierto;Servicios;86400;66960;EUROHELP CONSULTING S.L.;2017;
CONMY20171800000186;dirección obra construcción ies + bach de (12+4) uds. en villanueva gállego;EDUCACIÓN; CULTURA Y DEPORTE;Abierto;Servicios;102939.44;71000;ARQUITECTURA METROPOLITANA;2017;
CONMY20171600000152;contrato suministro arrendamiento cromatógrafo gases;SANIDAD;Abierto;Suministros;301500;227640;CAIXABANK EQUIPMENT FINANCE S.A.;2017;
CONMY20171400000044;elaboración catálogo buenas prácticas agrarias 2017-2018;DESARROLLO RURAL Y SOSTENIBILIDAD;Abierto;Servicios;43760;35120;FACTOR IDEAS INTEGRAL SERVICES;2017;
CONMY20175200000587;suministro dieciséis ecógrafos de altas prestaciones en ecografía mamaria;SERVICIO ARAGONÉS DE SALUD;Abierto;Suministros;885950.41;754075.13;TOSHIBA MEDICAL SYSTEMS S.A.;2017;
CONAD20175300000361;suministro gas natural d.p. 13.08.17 a 12.08.19;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;11983.47;11983.47;ENDESA ENERGIA S.A.;2017;
CONMY20171700000014;conmy 04/2017: creación de la aragón open data pool;INNOVACIÓN; INVESTIGACIÓN Y UNIVERSIDAD;Abierto;Servicios;173000;129995;RIAM INTERLEARNING LAB. SL;2017;
CONMY20175200000025;servicio de soporte y mantenimiento distintas aplicaciones informáticas;SERVICIO ARAGONÉS DE SALUD;Abierto;Servicios;445000;427200;EVERIS ARAGON SLU;2017;
CONMY20171000000169;suministro e instalación de sistemas de electrónica red s vistas;PRESIDENCIA;Abierto;Suministros;42198.35;32563.96;UNITRONICS COMUNICACIONES S.A.;2017;
CONMY20171400000258;adquisición de instrumental para la red de calidad del aire año 2017;DESARROLLO RURAL Y SOSTENIBILIDAD;Abierto;Suministros;82013.06;79700;J. AGUIRRE S.L.;2017;
CONMY20171300000053;cartografia 1:1000 de núcleos urbanos de aragon en 2017;VERTEBRACIÓN DEL TERRITORIO; MOVILIDAD Y VIVIENDA;Abierto;Servicios;47770;29900;UTE-TCA-TRACASA ARAGON 2017;2017;
CONMY20171600000116;servicio de soporte a usuarios y mantenimiento aplicaciones informáticas;SANIDAD;Abierto;Servicios;738562.82;470008;EVERIS ARAGON SLU;2017;
CONMY20171200000101;limpieza edificio plaza de san pedro nolasco; 7 - zaragoza (6 meses);HACIENDA Y ADMINISTRACIÓN PÚBLICA;Abierto;Servicios;150500.27;148294.16;SOLDENE S.A.;2017;
CONMY20175200000647;mantenimiento sistemas anatomia patologica (patwin);SERVICIO ARAGONÉS DE SALUD;Negociado;Servicios;149200;149200;ISOFT SANIDAD; SA .;2017;
CONMY20171800000361;adquisición de mobiliario de laboratorio para centros educativos;EDUCACIÓN; CULTURA Y DEPORTE;Abierto;Suministros;59948;50666;ALCANCE GLOBAL S.L.;2017;
CONMY20171200000104;limpieza edificio avda. juan xxiii; 2 (ant. banco españa) huesca (6 meses);HACIENDA Y ADMINISTRACIÓN PÚBLICA;Abierto;Servicios;23268.47;20260.74;SOLDENE S.A.;2017;
CONMY20175200000648;servicio de mantenimiento de hp-his;SERVICIO ARAGONÉS DE SALUD;Negociado;Servicios;514347.11;514247.11;IT CORPORATE SOLUTIONS SPAIN; SLU;2017;
CONAD20175300000366;suministro gas natural cocina hogar de andorra;INSTITUTO ARAGONÉS DE SERVICIOS SOCIALES;Derivado de acuerdo marco;Suministros;3305.78;3305.78;ENDESA ENERGIA S.A.;2017;
CONMY20171800000184;construcción de un ies + bachillerato de (12+4) uds. villanueva de gállego;EDUCACIÓN; CULTURA Y DEPORTE;Abierto;Obras;6340472.57;5274253;FCC CONSTRUCCION SA;2017;
CONMY20175100000077;servicio atencion telefonica inaem;INSTITUTO ARAGONÉS DE EMPLEO;Abierto;Servicios;527441.45;507980;ARQUISOCIAL S.L.;2017;
